Feature ID	Accession ID	Type	Contig	Start	Stop	Frame	Strand	Length (bp)	Function	Subsystem	NCBI GI	locus
fig|6666666.353979.peg.1144	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	230370	230981	3	+	612	Membrane-bound lytic murein transglycosylase E (EC 3.2.1.-)	Murein Hydrolases	 	 
fig|6666666.353979.peg.1145	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	231751	231020	-1	-	732	Inner membrane protein	- none -	 	 
fig|6666666.353979.peg.1146	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	231960	232214	3	+	255	UPF0410 protein YmgE	- none -	 	 
fig|6666666.353979.peg.1147	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	232327	234429	1	+	2103	Ferrichrome-iron receptor	Transport of Iron	 	 
fig|6666666.353979.peg.1148	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	236179	234494	-1	-	1686	Trehalase (EC 3.2.1.28); Periplasmic trehalase precursor (EC 3.2.1.28)	Trehalose Uptake and Utilization	 	 
fig|6666666.353979.peg.1149	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	237238	236282	-1	-	957	Transcriptional regulator, AraC family	- none -	 	 
fig|6666666.353979.peg.1150	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	237354	238541	3	+	1188	Arabinose efflux permease	- none -	 	 
fig|6666666.353979.peg.1151	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	239593	238583	-1	-	1011	NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	Entner-Doudoroff Pathway; <br>Glycolysis and Gluconeogenesis; <br>Pyridoxin (Vitamin B6) Biosynthesis; <br>Redox-dependent regulation of nucleus processes	 	 
fig|6666666.353979.peg.1152	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	240652	239672	-1	-	981	Transcriptional regulator, AraC family	- none -	 	 
fig|6666666.353979.peg.1153	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	240721	241773	1	+	1053	Fatty acid desaturase	- none -	 	 
fig|6666666.353979.peg.1154	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	241766	242512	2	+	747	ABC-type phosphate/phosphonate transport system, periplasmic component	- none -	 	 
fig|6666666.353979.peg.1155	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	243387	242491	-3	-	897	Hydrogen peroxide-inducible genes activator	LysR-family proteins in Escherichia coli; <br>LysR-family proteins in Salmonella enterica Typhimurium; <br>Oxidative stress; <br>Thioredoxin-disulfide reductase	 	 
fig|6666666.353979.peg.1156	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	245698	243410	-1	-	2289	Putative formate dehydrogenase oxidoreductase protein	Formate hydrogenase	 	 
fig|6666666.353979.peg.1157	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	246699	247193	3	+	495	FIG00553474: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1158	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	247217	247720	2	+	504	Type VI secretion lipoprotein/VasD	Type VI secretion systems	 	 
fig|6666666.353979.peg.1159	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	247746	249089	3	+	1344	Uncharacterized protein ImpJ/VasE	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1160	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	249107	250345	2	+	1239	Outer membrane protein ImpK/VasF, OmpA/MotB domain	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1161	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	250348	253968	1	+	3621	IcmF-related protein	Type VI secretion systems	 	 
fig|6666666.353979.peg.1162	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	253985	254701	2	+	717	Protein phosphatase ImpM	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1163	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	254713	255729	1	+	1017	Uncharacterized protein ImpA	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1164	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	255805	256329	1	+	525	Uncharacterized protein ImpB	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1165	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	256333	257832	1	+	1500	Uncharacterized protein ImpC	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1166	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	257899	258120	1	+	222	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1167	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	258170	258589	2	+	420	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1168	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	258771	259253	3	+	483	Uncharacterized protein ImpD	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1169	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	259677	259853	3	+	177	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1170	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	260021	260251	2	+	231	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1171	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	260334	262082	3	+	1749	Uncharacterized protein ImpI/VasC	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1172	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	262079	262876	2	+	798	Protein serine/threonine phosphatase PrpC, regulation of stationary phase	Conserved gene cluster associated with Met-tRNA formyltransferase	 	 
fig|6666666.353979.peg.1173	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	262893	263891	3	+	999	FIG00634680: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1174	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	263901	264713	3	+	813	Protein of avirulence locus ImpE	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1175	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	264706	265269	1	+	564	Uncharacterized protein ImpF	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1176	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	265272	267143	3	+	1872	Protein ImpG/VasA	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1177	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	267140	268183	2	+	1044	Uncharacterized protein ImpH/VasB	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1178	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	268222	270837	1	+	2616	ClpB protein	Protein chaperones; <br>Proteolysis in bacteria, ATP-dependent; <br>Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1179	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	270862	272283	1	+	1422	Serine/threonine protein kinase (EC 2.7.11.1)	- none -	 	 
fig|6666666.353979.peg.1180	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	272320	273786	1	+	1467	Phospholipase A1	- none -	 	 
fig|6666666.353979.peg.1181	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	273783	274547	3	+	765	Accessory protein	- none -	 	 
fig|6666666.353979.peg.1182	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	274621	275382	1	+	762	Accessory protein	- none -	 	 
fig|6666666.353979.peg.1183	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	276033	276644	3	+	612	Accessory protein	- none -	 	 
fig|6666666.353979.peg.1184	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	276959	277108	2	+	150	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1185	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	277180	279102	1	+	1923	VgrG protein	Type VI secretion systems; <br>USS-DB-7	 	 
fig|6666666.353979.peg.1186	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	279370	279810	1	+	441	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1187	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	279855	280253	3	+	399	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1188	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	280407	280847	3	+	441	FIG00553484: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1189	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	280851	285260	3	+	4410	Rhs-family protein	- none -	 	 
fig|6666666.353979.peg.1190	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	286682	286810	2	+	129	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1191	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	287487	287780	3	+	294	FIG00732098: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1192	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	288929	287835	-2	-	1095	GTP-binding and nucleic acid-binding protein YchF	Universal GTPases	 	 
fig|6666666.353979.peg.1193	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	289640	289056	-2	-	585	Peptidyl-tRNA hydrolase (EC 3.1.1.29)	Cell division-ribosomal stress proteins cluster; <br>Sporulation-associated proteins with broader functions; <br>Transcription repair cluster; <br>Translation termination factors bacterial	 	 
fig|6666666.353979.peg.1194	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	289915	290190	1	+	276	FIG00554739: membrane protein YchH	- none -	 	 
fig|6666666.353979.peg.1195	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	292041	290362	-3	-	1680	Putative sulfate permease	Inorganic Sulfur Assimilation	 	 
fig|6666666.353979.peg.1196	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	293113	292166	-1	-	948	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	A Gammaproteobacteria Cluster Relating to Translation; <br>De Novo Purine Biosynthesis; <br>Pentose phosphate pathway; <br>Transcription repair cluster	 	 
fig|6666666.353979.peg.1197	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	294108	293239	-3	-	870	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	A Gammaproteobacteria Cluster Relating to Translation; <br>Isoprenoid Biosynthesis; <br>Nonmevalonate Branch of Isoprenoid Biosynthesis	 	 
fig|6666666.353979.peg.1198	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	294716	294105	-2	-	612	Outer membrane lipoprotein LolB precursor	- none -	 	 
fig|6666666.353979.peg.1199	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	294918	296174	3	+	1257	Glutamyl-tRNA reductase (EC 1.2.1.70)	A Gammaproteobacteria Cluster Relating to Translation; <br>Heme and Siroheme Biosynthesis	 	 
fig|6666666.353979.peg.1200	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	296216	297298	2	+	1083	Peptide chain release factor 1	A Gammaproteobacteria Cluster Relating to Translation; <br>CBSS-216600.3.peg.802; <br>Translation termination factors bacterial; <br>YrdC-YciO-Sua5 protein family	 	 
fig|6666666.353979.peg.1201	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	297298	298125	1	+	828	Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2	A Gammaproteobacteria Cluster Relating to Translation; <br>CBSS-216600.3.peg.802; <br>Translation termination factors bacterial; <br>YrdC-YciO-Sua5 protein family	 	 
fig|6666666.353979.peg.1202	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	298122	298517	3	+	396	FIG002082: Protein sirB2	- none -	 	 
fig|6666666.353979.peg.1203	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	298521	299330	3	+	810	FIG002708: Protein SirB1	A Gammaproteobacteria Cluster Relating to Translation	 	 
fig|6666666.353979.peg.1204	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	299367	300221	3	+	855	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	A Gammaproteobacteria Cluster Relating to Translation	 	 
fig|6666666.353979.peg.1205	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	301396	300296	-1	-	1101	Calcium/proton antiporter	- none -	 	 
fig|6666666.353979.peg.1206	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	301667	301897	2	+	231	Cation transport regulator chaB	- none -	 	 
fig|6666666.353979.peg.1207	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	302075	302770	2	+	696	Cation transport protein chaC	- none -	 	 
fig|6666666.353979.peg.1208	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	303040	302801	-1	-	240	FIG00510384: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1209	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	305036	303252	-2	-	1785	Methyl-accepting chemotaxis protein	- none -	 	 
fig|6666666.353979.peg.1210	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	305496	305143	-3	-	354	Putative ACR protein	- none -	 	 
fig|6666666.353979.peg.1211	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	305757	307079	3	+	1323	Invasin	- none -	 	 
fig|6666666.353979.peg.1212	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	307733	307083	-2	-	651	Nitrate/nitrite response regulator protein	Nitrate and nitrite ammonification	 	 
fig|6666666.353979.peg.1213	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	309522	307726	-3	-	1797	Nitrate/nitrite sensor protein (EC 2.7.3.-)	Nitrate and nitrite ammonification	 	 
fig|6666666.353979.peg.1214	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	309988	311229	1	+	1242	Nitrate/nitrite transporter	Nitrate and nitrite ammonification	 	 
fig|6666666.353979.peg.1215	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	311610	315353	3	+	3744	Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	Denitrifying reductase gene clusters; <br>Nitrate and nitrite ammonification	 	 
fig|6666666.353979.peg.1216	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	315350	316885	2	+	1536	Respiratory nitrate reductase beta chain (EC 1.7.99.4)	Denitrifying reductase gene clusters; <br>Nitrate and nitrite ammonification	 	 
fig|6666666.353979.peg.1217	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	316882	317592	1	+	711	Respiratory nitrate reductase delta chain (EC 1.7.99.4)	Denitrifying reductase gene clusters; <br>Nitrate and nitrite ammonification	 	 
fig|6666666.353979.peg.1218	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	317592	318269	3	+	678	Respiratory nitrate reductase gamma chain (EC 1.7.99.4)	Denitrifying reductase gene clusters; <br>Nitrate and nitrite ammonification	 	 
fig|6666666.353979.peg.1219	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	319165	318266	-1	-	900	Permease of the drug/metabolite transporter (DMT) superfamily	Queuosine-Archaeosine Biosynthesis	 	 
fig|6666666.353979.peg.1220	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	319262	319714	2	+	453	Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	Branched-Chain Amino Acid Biosynthesis; <br>Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis	 	 
fig|6666666.353979.peg.1221	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	321146	320304	-2	-	843	Formyltetrahydrofolate deformylase (EC 3.5.1.10)	5-FCL-like protein; <br>One-carbon metabolism by tetrahydropterines	 	 
fig|6666666.353979.peg.1222	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	321530	321195	-2	-	336	UPF0225 protein YchJ	Broadly distributed proteins not in subsystems	 	 
fig|6666666.353979.peg.1223	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	321729	322670	3	+	942	UPF0028 protein YchK	Broadly distributed proteins not in subsystems	 	 
fig|6666666.353979.peg.1224	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	322762	323775	1	+	1014	Hnr protein	- none -	 	 
fig|6666666.353979.peg.1225	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	324039	324884	3	+	846	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	- none -	 	 
fig|6666666.353979.peg.1226	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	325497	325084	-3	-	414	DNA-binding protein H-NS	- none -	 	 
fig|6666666.353979.peg.1227	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	326138	326662	2	+	525	Thymidine kinase (EC 2.7.1.21)	pyrimidine conversions	 	 
fig|6666666.353979.peg.1228	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	329405	326727	-2	-	2679	Alcohol dehydrogenase (EC 1.1.1.1); Acetaldehyde dehydrogenase (EC 1.2.1.10)	5-FCL-like protein; <br>Butanol Biosynthesis; <br>Butanol Biosynthesis; <br>Fermentations: Lactate; <br>Fermentations: Mixed acid; <br>Fermentations: Mixed acid; <br>Glycerolipid and Glycerophospholipid Metabolism in Bacteria; <br>Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate	 	 
fig|6666666.353979.peg.1229	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	329883	330530	3	+	648	Putative membrane protein	- none -	 	 
fig|6666666.353979.peg.1230	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	331302	332933	3	+	1632	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	ABC transporter oligopeptide (TC 3.A.1.5.1)	 	 
fig|6666666.353979.peg.1231	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	333018	333938	3	+	921	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	ABC transporter oligopeptide (TC 3.A.1.5.1)	 	 
fig|6666666.353979.peg.1232	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	333951	334859	3	+	909	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	ABC transporter oligopeptide (TC 3.A.1.5.1)	 	 
fig|6666666.353979.peg.1233	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	334871	335884	2	+	1014	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	ABC transporter oligopeptide (TC 3.A.1.5.1)	 	 
fig|6666666.353979.peg.1234	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	335881	336885	1	+	1005	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	ABC transporter oligopeptide (TC 3.A.1.5.1)	 	 
fig|6666666.353979.peg.1235	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	336933	337769	3	+	837	Potassium voltage-gated channel subfamily KQT; possible potassium channel, VIC family	Potassium homeostasis	 	 
fig|6666666.353979.peg.1236	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	338130	337801	-3	-	330	FIG002901: hypothetical protein co-occurring with Cardiolipin synthetase	- none -	 	 
fig|6666666.353979.peg.1237	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	339624	338164	-3	-	1461	Cardiolipin synthetase (EC 2.7.8.-)	Cardiolipin synthesis; <br>Glycerolipid and Glycerophospholipid Metabolism in Bacteria	 	 
fig|6666666.353979.peg.1238	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	339769	339942	1	+	174	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1239	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	340050	340685	3	+	636	Putative transport protein	- none -	 	 
fig|6666666.353979.peg.1240	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	341812	340802	-1	-	1011	Phage integrase	- none -	 	 
fig|6666666.353979.peg.1241	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	342331	342606	1	+	276	Cox	- none -	 	 
fig|6666666.353979.peg.1242	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	342782	343273	2	+	492	Replication gene B protein	- none -	 	 
fig|6666666.353979.peg.1243	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	343340	343558	2	+	219	Phage protein	- none -	 	 
fig|6666666.353979.peg.1244	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	343581	343859	3	+	279	FIG00639324: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1245	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	343863	344693	3	+	831	FIG00639473: hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1246	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	344774	346882	2	+	2109	Phage replication protein	Phage replication	 	 
fig|6666666.353979.peg.1247	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	348331	347057	-1	-	1275	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1248	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	349367	348333	-2	-	1035	Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	CBSS-272943.3.peg.1367; <br>Conserved gene cluster associated with Met-tRNA formyltransferase; <br>YrdC-YciO-Sua5 protein family	 	 
fig|6666666.353979.peg.1249	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	350731	349706	-1	-	1026	Phage-related capsid packaging protein	Phage packaging machinery	 	 
fig|6666666.353979.peg.1250	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	352502	350733	-2	-	1770	Phage terminase, ATPase subunit	Phage packaging machinery	 	 
fig|6666666.353979.peg.1251	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	352669	353523	1	+	855	Phage capsid scaffolding protein	Phage capsid proteins	 	 
fig|6666666.353979.peg.1252	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	353579	354646	2	+	1068	Phage major capsid protein	Phage capsid proteins	 	 
fig|6666666.353979.peg.1253	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	354650	355405	2	+	756	Phage terminase, endonuclease subunit	Phage packaging machinery	 	 
fig|6666666.353979.peg.1254	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	355505	356011	2	+	507	Phage head completion-stabilization protein	Phage capsid proteins	 	 
fig|6666666.353979.peg.1255	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	356011	356214	1	+	204	Tail component protein	- none -	 	 
fig|6666666.353979.peg.1256	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	356205	356426	3	+	222	putative prophage Hp1 family holin	- none -	 	 
fig|6666666.353979.peg.1257	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	356437	356919	1	+	483	Prophage lysozyme (EC 3.2.1.17); Phage lysin	- none -	 	 
fig|6666666.353979.peg.1258	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	356916	357341	3	+	426	Protein lysB	- none -	 	 
fig|6666666.353979.peg.1259	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	357316	357474	1	+	159	Phage outer membrane lipoprotein Rz1 #LysC	Phage lysis modules	 	 
fig|6666666.353979.peg.1260	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	357437	357904	2	+	468	Phage tail protein	Phage tail proteins	 	 
fig|6666666.353979.peg.1261	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	357897	358361	3	+	465	Phage tail completion protein	Phage tail proteins; <br>Phage tail proteins 2	 	 
fig|6666666.353979.peg.1262	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	358536	359513	3	+	978	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1263	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	359785	359624	-1	-	162	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1264	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	359784	360308	3	+	525	Baseplate assembly protein V	- none -	 	 
fig|6666666.353979.peg.1265	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	360305	360655	2	+	351	Phage baseplate assembly protein	- none -	 	 
fig|6666666.353979.peg.1266	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	360661	361569	1	+	909	Baseplate assembly protein J	- none -	 	 
fig|6666666.353979.peg.1267	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	361562	362095	2	+	534	Phage tail fibers	Phage tail fiber proteins	 	 
fig|6666666.353979.peg.1268	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	362103	364148	3	+	2046	Phage tail fibers	Phage tail fiber proteins	 	 
fig|6666666.353979.peg.1269	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	364151	364576	2	+	426	Phage tail fiber assembly protein	Phage tail fiber proteins	 	 
fig|6666666.353979.peg.1270	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	364699	365892	1	+	1194	Phage tail sheath monomer	Phage tail proteins; <br>Phage tail proteins 2	 	 
fig|6666666.353979.peg.1271	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	365905	366423	1	+	519	Phage major tail tube protein	Phage tail proteins	 	 
fig|6666666.353979.peg.1272	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	366484	366792	1	+	309	Tail protein	- none -	 	 
fig|6666666.353979.peg.1273	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	366825	366947	3	+	123	putative phage tail protein	- none -	 	 
fig|6666666.353979.peg.1274	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	366937	369384	1	+	2448	Putative bacteriophage P2 tail protein gpT	- none -	 	 
fig|6666666.353979.peg.1275	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	369397	369861	1	+	465	Phage-related tail protein	- none -	 	 
fig|6666666.353979.peg.1276	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	369870	371027	3	+	1158	Gene D protein	- none -	 	 
fig|6666666.353979.peg.1277	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	371596	371366	-1	-	231	hypothetical protein	- none -	 	 
fig|6666666.353979.peg.1278	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	372056	373009	2	+	954	Transcriptional regulator, MarR family / Acetyltransferase (GNAT)	- none -	 	 
fig|6666666.353979.peg.1279	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	373339	373043	-1	-	297	YciL protein	Broadly distributed proteins not in subsystems; <br>CBSS-211586.9.peg.2729	 	 
fig|6666666.353979.peg.1280	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	373560	374282	3	+	723	Ferric siderophore transport system, periplasmic binding protein TonB	Heme, hemin uptake and utilization systems in GramNegatives; <br>Hemin transport system; <br>Ton and Tol transport systems	 	 
fig|6666666.353979.peg.1281	PZPP01000001.1	CDS	enterobacter_cloacae_contig-09_1582130	374716	374321	-1	-	396	Acyl-CoA thioesterase YciA, involved in membrane biogenesis	CBSS-211586.9.peg.2729; <br>Intracellular septation in Enterobacteria	 	 
