Category	Subcategory	Subsystem	Role	Features
Membrane Transport	Membrane Transport - no subcategory	ECF class transporters	Additional substrate-specific component CbiN of cobalt ECF transporter	fig|6666666.353979.peg.2281
Membrane Transport	Membrane Transport - no subcategory	ECF class transporters	ATPase component CbiO of energizing module of cobalt ECF transporter	fig|6666666.353979.peg.2279
Membrane Transport	Membrane Transport - no subcategory	ECF class transporters	Transmembrane component CbiQ of energizing module of cobalt ECF transporter	fig|6666666.353979.peg.2280
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	TonB-dependent receptor	fig|6666666.353979.peg.3008
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	TPR repeat containing exported protein	fig|6666666.353979.peg.2872
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	Biopolymer transport protein ExbD/TolR	fig|6666666.353979.peg.2645
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	TolA protein	fig|6666666.353979.peg.1819, fig|6666666.353979.peg.1853, fig|6666666.353979.peg.2875
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	Aerobactin siderophore receptor IutA	fig|6666666.353979.peg.946
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	MotA/TolQ/ExbB proton channel family protein	fig|6666666.353979.peg.2646, fig|6666666.353979.peg.2877
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	Ferric siderophore transport system, periplasmic binding protein TonB	fig|6666666.353979.peg.1280
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	Tol biopolymer transport system, TolR protein	fig|6666666.353979.peg.2876
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	Peptidoglycan-associated lipoprotein precursor	fig|6666666.353979.peg.2873
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	tolB protein precursor, periplasmic protein involved in the tonb-independent uptake of group A colicins	fig|6666666.353979.peg.2874
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77)	fig|6666666.353979.peg.3929
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	4-hydroxybenzoyl-CoA thioesterase family active site	fig|6666666.353979.peg.2878, fig|6666666.353979.peg.3144
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	Colicin I receptor precursor	fig|6666666.353979.peg.3410
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	TonB-dependent hemin , ferrichrome receptor	fig|6666666.353979.peg.1967
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	TonB-dependent siderophore receptor	fig|6666666.353979.peg.946
Membrane Transport	Membrane Transport - no subcategory	Ton and Tol transport systems	Type I secretion outer membrane protein, TolC precursor	fig|6666666.353979.peg.2673
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	IcmF-related protein	fig|6666666.353979.peg.1161, fig|6666666.353979.peg.2605
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Uncharacterized protein ImpI/VasC	fig|6666666.353979.peg.1171
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Uncharacterized protein ImpF	fig|6666666.353979.peg.1175
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Uncharacterized protein ImpB	fig|6666666.353979.peg.1164, fig|6666666.353979.peg.2619
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Protein of avirulence locus ImpE	fig|6666666.353979.peg.1174
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Protein ImpG/VasA	fig|6666666.353979.peg.1176, fig|6666666.353979.peg.2603
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Uncharacterized protein similar to VCA0109	fig|6666666.353979.peg.2591
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Uncharacterized protein ImpA	fig|6666666.353979.peg.1163, fig|6666666.353979.peg.2604
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Outer membrane protein ImpK/VasF, OmpA/MotB domain	fig|6666666.353979.peg.1160
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	ClpB protein	fig|6666666.353979.peg.1178, fig|6666666.353979.peg.2613, fig|6666666.353979.peg.3739
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Uncharacterized protein ImpC	fig|6666666.353979.peg.1165, fig|6666666.353979.peg.2618
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Uncharacterized protein ImpJ/VasE	fig|6666666.353979.peg.1159, fig|6666666.353979.peg.2617
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Uncharacterized protein ImpD	fig|6666666.353979.peg.1168, fig|6666666.353979.peg.1633, fig|6666666.353979.peg.2745
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Protein phosphatase ImpM	fig|6666666.353979.peg.1162
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	VgrG protein	fig|6666666.353979.peg.1185, fig|6666666.353979.peg.2600, fig|6666666.353979.peg.2612
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Uncharacterized protein ImpH/VasB	fig|6666666.353979.peg.1177, fig|6666666.353979.peg.2602
Membrane Transport	Protein secretion system, Type VI	Type VI secretion systems	Type VI secretion lipoprotein/VasD	fig|6666666.353979.peg.1158
Membrane Transport	Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	Curli production	Curli production assembly/transport component CsgE	fig|6666666.353979.peg.2199
Membrane Transport	Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	Curli production	Transcriptional regulator CsgD for 2nd curli operon	fig|6666666.353979.peg.2198
Membrane Transport	Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	Curli production	Putative curli production protein CsgC	fig|6666666.353979.peg.2195
Membrane Transport	Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	Curli production	Minor curlin subunit CsgB, nucleation component of curlin monomers	fig|6666666.353979.peg.2197
Membrane Transport	Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	Curli production	Major curlin subunit precursor CsgA	fig|6666666.353979.peg.2196
Membrane Transport	Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	Curli production	Curli production assembly/transport component CsgF	fig|6666666.353979.peg.2200
Membrane Transport	Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	Curli production	Curli production assembly/transport component CsgG	fig|6666666.353979.peg.2201
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	Type IV fimbrial assembly, ATPase PilB	fig|6666666.353979.peg.823
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	Type IV pilus biogenesis protein PilQ	fig|6666666.353979.peg.4203
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	N-methyltransferase (EC 2.1.1.-)	fig|6666666.353979.peg.2433, fig|6666666.353979.peg.4161
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	3-dehydroquinate synthase (EC 4.2.3.4)	fig|6666666.353979.peg.4201
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	Type IV pilus biogenesis protein PilO	fig|6666666.353979.peg.4205
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	Type IV fimbrial assembly protein PilC	fig|6666666.353979.peg.822
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	Type IV pilus biogenesis protein PilP	fig|6666666.353979.peg.4204
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	Twitching motility protein PilT	fig|6666666.353979.peg.2563
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	Leader peptidase (Prepilin peptidase) (EC 3.4.23.43)	fig|6666666.353979.peg.2433, fig|6666666.353979.peg.4161
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	Type IV pilin PilA	fig|6666666.353979.peg.824
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)	fig|6666666.353979.peg.872, fig|6666666.353979.peg.4208
Membrane Transport	Protein and nucleoprotein secretion system, Type IV	Type IV pilus	Type IV pilus biogenesis protein PilM	fig|6666666.353979.peg.4207
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore	fig|6666666.353979.peg.2991, fig|6666666.353979.peg.2996
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Ferric enterobactin uptake protein FepE	fig|6666666.353979.peg.2498
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Ferric enterobactin transport system permease protein FepG (TC 3.A.1.14.2)	fig|6666666.353979.peg.3003
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	FIG005032: Putative cytoplasmic protein YbdZ in enterobactin biosynthesis operon	fig|6666666.353979.peg.3006
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Outer membrane receptor for ferric enterobactin and colicins B, D	fig|6666666.353979.peg.3008
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Proofreading thioesterase in enterobactin biosynthesis EntH	fig|6666666.353979.peg.2995
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Isochorismatase (EC 3.3.2.1) [enterobactin] siderophore	fig|6666666.353979.peg.2997
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Ferric enterobactin transport system permease protein FepD (TC 3.A.1.14.2)	fig|6666666.353979.peg.3002
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Enterobactin esterase	fig|6666666.353979.peg.3007
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)	fig|6666666.353979.peg.3004
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Ferric enterobactin-binding periplasmic protein FepB (TC 3.A.1.14.2)	fig|6666666.353979.peg.3000
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore	fig|6666666.353979.peg.2998
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Enterobactin synthetase component F, serine activating enzyme (EC 2.7.7.-)	fig|6666666.353979.peg.3005
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Enterobactin exporter EntS	fig|6666666.353979.peg.3001
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Isochorismate synthase (EC 5.4.4.2) [enterobactin] siderophore	fig|6666666.353979.peg.2999
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	4'-phosphopantetheinyl transferase (EC 2.7.8.-) [enterobactin] siderophore	fig|6666666.353979.peg.3009
Iron acquisition and metabolism	Siderophores	Siderophore Enterobactin	Apo-aryl carrier domain of EntB	fig|6666666.353979.peg.2997
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Ferric hydroxamate outer membrane receptor FhuA	fig|6666666.353979.peg.873
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), permease component FhuB	fig|6666666.353979.peg.876
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Ferric reductase (1.6.99.14)	fig|6666666.353979.peg.701
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	ABC-type hemin transport system, ATPase component	fig|6666666.353979.peg.1971
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Hemin ABC transporter, permease protein	fig|6666666.353979.peg.1970
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), ATP-binding protein FhuC	fig|6666666.353979.peg.874
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Hemin transport protein HmuS	fig|6666666.353979.peg.1968
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), periplasmic substrate binding protein FhuD	fig|6666666.353979.peg.875
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Isochorismatase (EC 3.3.2.1) of siderophore biosynthesis	fig|6666666.353979.peg.2997
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Siderophore synthetase large component, acetyltransferase	fig|6666666.353979.peg.950
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Siderophore synthetase component, ligase	fig|6666666.353979.peg.948
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Periplasmic hemin-binding protein	fig|6666666.353979.peg.1969
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Siderophore synthetase small component, acetyltransferase	fig|6666666.353979.peg.949
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	Siderophore biosynthesis protein, monooxygenase	fig|6666666.353979.peg.947
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	TonB-dependent hemin , ferrichrome receptor	fig|6666666.353979.peg.1967
Iron acquisition and metabolism	Siderophores	Siderophore assembly kit	TonB-dependent siderophore receptor	fig|6666666.353979.peg.946
Iron acquisition and metabolism	Siderophores	Siderophore Aerobactin	Ferric hydroxamate outer membrane receptor FhuA	fig|6666666.353979.peg.873
Iron acquisition and metabolism	Siderophores	Siderophore Aerobactin	Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), permease component FhuB	fig|6666666.353979.peg.876
Iron acquisition and metabolism	Siderophores	Siderophore Aerobactin	N6-hydroxylysine O-acetyltransferase (EC 2.3.1.102), aerobactin biosynthesis protein IucB	fig|6666666.353979.peg.949
Iron acquisition and metabolism	Siderophores	Siderophore Aerobactin	L-lysine 6-monooxygenase [NADPH] (EC 1.14.13.59), aerobactin biosynthesis protein IucD	fig|6666666.353979.peg.947
Iron acquisition and metabolism	Siderophores	Siderophore Aerobactin	Aerobactin siderophore receptor IutA	fig|6666666.353979.peg.946
Iron acquisition and metabolism	Siderophores	Siderophore Aerobactin	Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), ATP-binding protein FhuC	fig|6666666.353979.peg.874
Iron acquisition and metabolism	Siderophores	Siderophore Aerobactin	Ferric hydroxamate ABC transporter (TC 3.A.1.14.3), periplasmic substrate binding protein FhuD	fig|6666666.353979.peg.875
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Iron acquisition in Streptococcus	Ferric iron ABC transporter, ATP-binding protein	fig|6666666.353979.peg.3056
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Iron acquisition in Streptococcus	Ferric iron ABC transporter, iron-binding protein	fig|6666666.353979.peg.3058
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Iron acquisition in Streptococcus	Ferric iron ABC transporter, permease protein	fig|6666666.353979.peg.2513, fig|6666666.353979.peg.3057
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Heme, hemin uptake and utilization systems in GramPositives	Hemin transport protein HmuS	fig|6666666.353979.peg.1968
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Ferrous iron transporter EfeUOB, low-pH-induced	Ferrous iron transport peroxidase EfeB	fig|6666666.353979.peg.2212
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Ferrous iron transporter EfeUOB, low-pH-induced	Ferrous iron transport permease EfeU	fig|6666666.353979.peg.2214
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Ferrous iron transporter EfeUOB, low-pH-induced	Ferrous iron transport periplasmic protein EfeO, contains peptidase-M75 domain and (frequently) cupredoxin-like domain	fig|6666666.353979.peg.2213
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	ABC transporter [iron.B12.siderophore.hemin]	ABC transporter (iron.B12.siderophore.hemin) , permease component	fig|6666666.353979.peg.3913
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	ABC transporter [iron.B12.siderophore.hemin]	ABC transporter (iron.B12.siderophore.hemin) , ATP-binding component	fig|6666666.353979.peg.3914
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	ABC transporter [iron.B12.siderophore.hemin]	ABC transporter (iron.B12.siderophore.hemin) , periplasmic substrate-binding component	fig|6666666.353979.peg.3912
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Heme, hemin uptake and utilization systems in GramNegatives	Ferric siderophore transport system, periplasmic binding protein TonB	fig|6666666.353979.peg.1280
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Heme, hemin uptake and utilization systems in GramNegatives	Ferric reductase (1.6.99.14)	fig|6666666.353979.peg.701
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Heme, hemin uptake and utilization systems in GramNegatives	Paraquat-inducible protein B	fig|6666666.353979.peg.1096, fig|6666666.353979.peg.2351, fig|6666666.353979.peg.2352
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Heme, hemin uptake and utilization systems in GramNegatives	ABC-type hemin transport system, ATPase component	fig|6666666.353979.peg.1971
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Heme, hemin uptake and utilization systems in GramNegatives	Periplasmic hemin-binding protein	fig|6666666.353979.peg.1969
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Heme, hemin uptake and utilization systems in GramNegatives	Hemin ABC transporter, permease protein	fig|6666666.353979.peg.1970
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Heme, hemin uptake and utilization systems in GramNegatives	Paraquat-inducible protein A	fig|6666666.353979.peg.1097, fig|6666666.353979.peg.2353
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Heme, hemin uptake and utilization systems in GramNegatives	Hemin transport protein HmuS	fig|6666666.353979.peg.1968
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Heme, hemin uptake and utilization systems in GramNegatives	TonB-dependent hemin , ferrichrome receptor	fig|6666666.353979.peg.1967
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Hemin transport system	Periplasmic hemin-binding protein	fig|6666666.353979.peg.1969
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Hemin transport system	ABC-type hemin transport system, ATPase component	fig|6666666.353979.peg.1971
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Hemin transport system	Ferric siderophore transport system, periplasmic binding protein TonB	fig|6666666.353979.peg.1280
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Hemin transport system	Hemin ABC transporter, permease protein	fig|6666666.353979.peg.1970
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Hemin transport system	Ferric reductase (1.6.99.14)	fig|6666666.353979.peg.701
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Hemin transport system	Hemin transport protein HmuS	fig|6666666.353979.peg.1968
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Hemin transport system	TonB-dependent hemin , ferrichrome receptor	fig|6666666.353979.peg.1967
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Transport of Iron	Ferrous iron transport protein A	fig|6666666.353979.peg.4220
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Transport of Iron	Ferrichrome-iron receptor	fig|6666666.353979.peg.1147, fig|6666666.353979.peg.2667
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Transport of Iron	Ferric uptake regulation protein FUR	fig|6666666.353979.peg.2920
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Transport of Iron	Ferric iron ABC transporter, ATP-binding protein	fig|6666666.353979.peg.3056
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Transport of Iron	Iron-uptake factor PiuB	fig|6666666.353979.peg.3752
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Transport of Iron	Ferrous iron transport protein B	fig|6666666.353979.peg.4221
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Transport of Iron	Ferric iron ABC transporter, iron-binding protein	fig|6666666.353979.peg.3058
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Transport of Iron	Ferric iron ABC transporter, permease protein	fig|6666666.353979.peg.2513, fig|6666666.353979.peg.3057
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Transport of Iron	Ferrous iron-sensisng transcriptional regulator FeoC	fig|6666666.353979.peg.4222
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Encapsulating protein for DyP-type peroxidase and ferritin-like protein oligomers	Predicted outer membrane lipoprotein YfeY	fig|6666666.353979.peg.3592
Iron acquisition and metabolism	Iron acquisition and metabolism - no subcategory	Encapsulating protein for DyP-type peroxidase and ferritin-like protein oligomers	Predicted dye-decolorizing peroxidase (DyP), encapsulated subgroup	fig|6666666.353979.peg.3591
RNA Metabolism	RNA processing and modification	RNA pseudouridine syntheses	Ribosomal large subunit pseudouridine synthase F (EC 4.2.1.70)	fig|6666666.353979.peg.269
RNA Metabolism	RNA processing and modification	RNA pseudouridine syntheses	Ribosomal large subunit pseudouridine synthase A (EC 4.2.1.70)	fig|6666666.353979.peg.775, fig|6666666.353979.peg.1630
RNA Metabolism	RNA processing and modification	RNA pseudouridine syntheses	Ribosomal large subunit pseudouridine synthase E (EC 4.2.1.70)	fig|6666666.353979.peg.2063
RNA Metabolism	RNA processing and modification	RNA pseudouridine syntheses	Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)	fig|6666666.353979.peg.3741
RNA Metabolism	RNA processing and modification	RNA pseudouridine syntheses	Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)	fig|6666666.353979.peg.2120
RNA Metabolism	RNA processing and modification	RNA pseudouridine syntheses	Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)	fig|6666666.353979.peg.1299
RNA Metabolism	RNA processing and modification	RNA pseudouridine syntheses	tRNA pseudouridine synthase B (EC 4.2.1.70)	fig|6666666.353979.peg.4014
RNA Metabolism	RNA processing and modification	RNA pseudouridine syntheses	Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)	fig|6666666.353979.peg.3435
RNA Metabolism	RNA processing and modification	RNA pseudouridine syntheses	tRNA pseudouridine synthase C (EC 4.2.1.70)	fig|6666666.353979.peg.3961
RNA Metabolism	RNA processing and modification	RNA pseudouridine syntheses	tRNA pseudouridine synthase A (EC 4.2.1.70)	fig|6666666.353979.peg.3525
RNA Metabolism	RNA processing and modification	Polyadenylation bacterial	tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25)	fig|6666666.353979.peg.2688
RNA Metabolism	RNA processing and modification	Polyadenylation bacterial	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	fig|6666666.353979.peg.4012
RNA Metabolism	RNA processing and modification	Polyadenylation bacterial	Poly(A) polymerase (EC 2.7.7.19)	fig|6666666.353979.peg.866
RNA Metabolism	RNA processing and modification	Polyadenylation bacterial	RNA-binding protein Hfq	fig|6666666.353979.peg.515
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	Organic solvent tolerance protein precursor	fig|6666666.353979.peg.773
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41)	fig|6666666.353979.peg.768
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	fig|6666666.353979.peg.771
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8)	fig|6666666.353979.peg.772
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA	fig|6666666.353979.peg.1125
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)	fig|6666666.353979.peg.770
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	fig|6666666.353979.peg.2700
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	DnaJ-like protein DjlA	fig|6666666.353979.peg.774
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	ApaG protein	fig|6666666.353979.peg.769
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)	fig|6666666.353979.peg.706
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	Outer membrane protein Imp, required for envelope biogenesis	fig|6666666.353979.peg.773
RNA Metabolism	RNA processing and modification	Possible RNA modification and stress response cluster	TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	fig|6666666.353979.peg.511
RNA Metabolism	RNA processing and modification	tRNA nucleotidyltransferase	tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25)	fig|6666666.353979.peg.2688
RNA Metabolism	RNA processing and modification	Methylthiotransferases	tRNA-i(6)A37 methylthiotransferase	fig|6666666.353979.peg.2931
RNA Metabolism	RNA processing and modification	Methylthiotransferases	Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase	fig|6666666.353979.peg.2777
RNA Metabolism	RNA processing and modification	RNA processing and degradation, bacterial	3'-to-5' exoribonuclease RNase R	fig|6666666.353979.peg.522
RNA Metabolism	RNA processing and modification	RNA processing and degradation, bacterial	Ribonuclease I precursor (EC 3.1.27.6)	fig|6666666.353979.peg.2962
RNA Metabolism	RNA processing and modification	RNA processing and degradation, bacterial	Exoribonuclease II (EC 3.1.13.1)	fig|6666666.353979.peg.1321
RNA Metabolism	RNA processing and modification	RNA processing and degradation, bacterial	Ribonuclease E inhibitor RraA	fig|6666666.353979.peg.4403
RNA Metabolism	RNA processing and modification	RNA processing and degradation, bacterial	3'-to-5' oligoribonuclease (orn)	fig|6666666.353979.peg.508
RNA Metabolism	RNA processing and modification	RNA processing and degradation, bacterial	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	fig|6666666.353979.peg.4091
RNA Metabolism	RNA processing and modification	RNA processing and degradation, bacterial	Ribonuclease E inhibitor RraB	fig|6666666.353979.peg.603
RNA Metabolism	RNA processing and modification	RNA processing and degradation, bacterial	Ribonuclease III (EC 3.1.26.3)	fig|6666666.353979.peg.3720
RNA Metabolism	RNA processing and modification	RNA processing and degradation, bacterial	Ribonuclease E (EC 3.1.26.12)	fig|6666666.353979.peg.2121
RNA Metabolism	RNA processing and modification	RNA methylation	tRNA:Cm32/Um32 methyltransferase	fig|6666666.353979.peg.738, fig|6666666.353979.peg.3692
RNA Metabolism	RNA processing and modification	RNA methylation	tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34)	fig|6666666.353979.peg.114
RNA Metabolism	RNA processing and modification	RNA methylation	tRNA (adenine37-N(6))-methyltransferase TrmN6 (EC 2.1.1.223)	fig|6666666.353979.peg.3728
RNA Metabolism	RNA processing and modification	RNA methylation	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	fig|6666666.353979.peg.2559
RNA Metabolism	RNA processing and modification	RNA methylation	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.51)	fig|6666666.353979.peg.2811
RNA Metabolism	RNA processing and modification	RNA methylation	Ribosomal RNA large subunit methyltransferase E (EC 2.1.1.-)	fig|6666666.353979.peg.4024
RNA Metabolism	RNA processing and modification	RNA methylation	tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)	fig|6666666.353979.peg.2571
